
23:23:04.903,+58:48:37.07,medium/hard,8,1.12608
23:23:04.904,+58:48:29.19,medium/hard,8,1.08267
23:23:05.410,+58:48:33.14,soft/medium,8,1.05998
23:23:05.793,+58:48:14.44,soft/medium,4,1.0182
23:23:05.907,+58:49:28.24,medium/hard,8,1.3867
23:23:05.916,+58:48:37.08,soft/medium,8,1.08851
23:23:05.919,+58:48:21.33,soft/medium,8,1.06078
23:23:06.044,+58:48:26.25,medium/hard,4,1.06448
23:23:06.044,+58:48:26.25,soft/medium,4,1.14904
23:23:06.047,+58:48:08.54,medium/hard,4,1.03198
23:23:06.047,+58:48:08.54,soft/medium,4,1.64654
23:23:06.423,+58:48:33.15,soft/medium,8,1.0029
23:23:06.425,+58:48:21.34,soft/medium,8,1.28846
23:23:06.801,+58:48:43.97,soft/medium,4,1.01111
23:23:06.802,+58:48:38.07,soft/medium,4,1.34353
23:23:06.929,+58:48:37.09,soft/medium,8,1.4562
23:23:06.930,+58:48:33.15,soft/medium,8,1.10316
23:23:07.053,+58:48:57.75,soft/medium,4,1.0407
23:23:07.055,+58:48:42.01,soft/medium,4,1.18576
23:23:07.318,+58:47:42.97,medium/hard,4,1.06836
23:23:07.436,+58:48:37.09,soft/medium,8,1.1117
23:23:07.437,+58:48:33.16,soft/medium,8,1.07887
23:23:07.445,+58:47:38.05,medium/hard,8,1.06719
23:23:07.561,+58:48:47.92,soft/medium,4,1.06273
23:23:07.563,+58:48:32.17,soft/medium,4,1.48436
23:23:07.563,+58:48:36.11,soft/medium,4,1.33705
23:23:07.690,+58:48:31.19,soft/medium,16,1.07121
23:23:07.691,+58:48:23.32,soft/medium,16,1.16306
23:23:07.814,+58:48:51.86,soft/medium,4,1.10109
23:23:07.815,+58:48:40.05,soft/medium,4,1.16931
23:23:07.819,+58:48:20.37,soft/medium,4,1.01356
23:23:07.935,+58:49:24.33,medium/hard,8,1.03411
23:23:07.942,+58:48:41.03,soft/medium,8,1.14809
23:23:07.943,+58:48:33.16,soft/medium,8,1.00869
23:23:07.944,+58:48:29.22,soft/medium,8,1.06993
23:23:07.945,+58:48:21.35,soft/medium,8,1.06275
23:23:07.946,+58:48:13.48,medium/hard,8,1.03086
23:23:08.060,+58:49:37.12,soft/medium,4,1.60221
23:23:08.064,+58:49:13.51,soft/medium,4,1.01038
23:23:08.067,+58:48:49.89,soft/medium,4,1.41305
23:23:08.067,+58:48:51.86,soft/medium,4,1.06012
23:23:08.068,+58:48:45.95,soft/medium,4,1.02453
23:23:08.068,+58:48:47.92,soft/medium,4,1.32941
23:23:08.069,+58:48:40.05,soft/medium,4,1.25978
23:23:08.070,+58:48:32.18,soft/medium,4,1.0277
23:23:08.202,+58:47:55.77,soft/medium,32,6.04546
23:23:08.315,+58:49:27.28,medium/hard,4,1.19753
23:23:08.319,+58:48:57.76,soft/medium,4,1.16916
23:23:08.320,+58:48:53.83,soft/medium,4,1.16465
23:23:08.321,+58:48:47.92,soft/medium,4,1.18806
